full_name,search,search2,additiona_search,name,name__alternate,last_name,last_name__alternate,nickname,role
Kreacher,Kreacher,Kreacher,0,Kreacher,,,,,"House-elf belonging to the Black family, and later Harry Potter. Though at first preferring to serve the pureblood line (including Regulus Black, Narcissa Malfoy, Bellatrix Lestrange, and Draco Malfoy), he eventually likes serving under Harry as he treats him better."
Magorian,Magorian,Magorian,0,Magorian,,,,,Centaur.
Aunt Muriel,Muriel,Muriel,0,Muriel,,,,Aunt Muriel,Great aunt of the Weasley children
Nagini,Nagini,Nagini,0,Nagini,,,,,"Lord Voldemort's giant pet snake, which does his bidding.She is one of Voldemort's Horcruxes."
Nearly Headless Nick,Nick,Nick,0,Nick,,,,Nearly Headless Nick,"Sir Nicholas de Mimsy-Porpington, the Gryffindor House ghost.He is known for being nearly headless."
Norbert,Norbert,Norbert,0,Norbert,Norberta,,,,"Dragon belonging to Rubeus Hagrid, later secretly moved to the Dragon Reserve in Romania by friends of Charlie Weasley."
Mrs Norris,Norris,Norris,0,,,Norris,,,"An evil red eyed Cat belonging to Argus Filch the caretaker,Mrs. Norris sneakes around at night looking for out of bed students"
Peeves,Peeves,Peeves,0,Peeves,,,,,"Hogwarts poltergeist, a mischievous magical being."
Pigwidgeon,Pigwidgeon,Pigwidgeon,0,Pigwidgeon,,,,,"Named by Ginny Weasley, a tiny mischievous Owl belonging to Ron Weasley."
Madam Rosmerta,Rosmerta,Rosmerta,0,Rosmerta,,,,,Proprietor of the Three Broomsticks in Hogsmeade
Ronan,Ronan,Ronan,0,Ronan,,,,,Centaur living in the Forbidden Forest
Scabbers,Scabbers,Scabbers,0,Scabbers,,,,,Ron Weasley's pet rat in the first three stories. He is revealed at the end of Prisoner of Azkaban to be a wizard in animal form: Peter Pettigrew.
Scabior,Scabior,Scabior,0,Scabior,,,,,"Snatcher who captures Harry Potter, Ron Weasley and Hermione Granger in Deathly Hallows."
Travers,Travers,Travers,0,Travers,,,,,was a wizard and a Death Eater who escaped from Azkaban after Lord Voldemort's return.
Trevor,Trevor,Trevor,0,Trevor,,,,,The toad belonging to Neville Longbottom that always gets lost
Winky,Winky,Winky,0,Winky,,,,,"A female house elf who originally belonged to Bartemius Crouch Sr., but was sacked by him when evidence emerged that she had used magic at The Quidditch World Cup, then worked in the Hogwarts kitchen."
